"location","source","target"
"gnowsys_ndf/ndf/templates/ndf/base_templates/admin_fields.html:67 gnowsys_ndf/ndf/templates/ndf/base_templates/fetch_fields.html:75","DRAFT",
"gnowsys_ndf/ndf/templates/ndf/base_templates/admin_fields.html:68 gnowsys_ndf/ndf/templates/ndf/base_templates/fetch_fields.html:76","HIDDEN",
"gnowsys_ndf/ndf/templates/ndf/base_templates/all_under_moderation_status.html:15","Underlying Moderation Groups:",
"gnowsys_ndf/ndf/templates/ndf/base_templates/announced_course_create_edit.html:7 gnowsys_ndf/ndf/templates/ndf/base_templates/announced_course_create_edit.html:60","Course Announcement ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/announced_course_create_edit.html:58 gnowsys_ndf/ndf/templates/ndf/base_templates/studentcourseenrollment_create_edit.html:69"," Editing %(title_var)s: %(node_name)s ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/announced_course_create_edit.html:68 gnowsys_ndf/ndf/templates/ndf/base_templates/event_create_edit.html:75 gnowsys_ndf/ndf/templates/ndf/base_templates/nussd_course_create_edit.html:88 gnowsys_ndf/ndf/templates/ndf/base_templates/organization_create_edit.html:22 gnowsys_ndf/ndf/templates/ndf/base_templates/person_create_edit.html:22 gnowsys_ndf/ndf/templates/ndf/base_templates/student_create_edit.html:22 gnowsys_ndf/ndf/templates/ndf/base_templates/trainer_create_edit.html:109","Fill",
"gnowsys_ndf/ndf/templates/ndf/base_templates/announced_course_create_edit.html:74 gnowsys_ndf/ndf/templates/ndf/base_templates/studentcourseenrollment_create_edit.html:81"," %(tab_name)s ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/announced_course_create_edit.html:92 gnowsys_ndf/ndf/templates/ndf/base_templates/announced_course_create_edit.html:101 gnowsys_ndf/ndf/templates/ndf/base_templates/create_course_structure.html:192 gnowsys_ndf/ndf/templates/ndf/base_templates/create_course_structure.html:217 gnowsys_ndf/ndf/templates/ndf/base_templates/create_course_structure.html:251 gnowsys_ndf/ndf/templates/ndf/base_templates/create_course_structure.html:262 gnowsys_ndf/ndf/templates/ndf/base_templates/create_course_structure.html:275 gnowsys_ndf/ndf/templates/ndf/base_templates/create_course_structure.html:288 gnowsys_ndf/ndf/templates/ndf/base_templates/create_course_structure.html:297 gnowsys_ndf/ndf/templates/ndf/base_templates/student_create_edit.html:47 gnowsys_ndf/ndf/templates/ndf/base_templates/student_create_edit.html:59 gnowsys_ndf/ndf/templates/ndf/base_templates/student_create_edit.html:71 gnowsys_ndf/ndf/templates/ndf/base_templates/student_create_edit.html:87 gnowsys_ndf/ndf/templates/ndf/base_templates/student_create_edit.html:99 gnowsys_ndf/ndf/templates/ndf/base_templates/student_create_edit.html:111 gnowsys_ndf/ndf/templates/ndf/base_templates/student_create_edit.html:137 gnowsys_ndf/ndf/templates/ndf/base_templates/student_create_edit.html:203 gnowsys_ndf/ndf/templates/ndf/base_templates/student_create_edit.html:251 gnowsys_ndf/ndf/templates/ndf/base_templates/student_create_edit.html:264 gnowsys_ndf/ndf/templates/ndf/base_templates/student_create_edit.html:279 gnowsys_ndf/ndf/templates/ndf/base_templates/student_create_edit.html:292 gnowsys_ndf/ndf/templates/ndf/base_templates/student_create_edit.html:307 gnowsys_ndf/ndf/templates/ndf/base_templates/student_create_edit.html:320 gnowsys_ndf/ndf/templates/ndf/base_templates/student_create_edit.html:335 gnowsys_ndf/ndf/templates/ndf/base_templates/studentcourseenrollment_create_edit.html:202 gnowsys_ndf/ndf/templates/ndf/base_templates/trainer_create_edit.html:134 gnowsys_ndf/ndf/templates/ndf/base_templates/trainer_create_edit.html:146 gnowsys_ndf/ndf/templates/ndf/base_templates/trainer_create_edit.html:158 gnowsys_ndf/ndf/templates/ndf/base_templates/trainer_create_edit.html:174 gnowsys_ndf/ndf/templates/ndf/base_templates/trainer_create_edit.html:186 gnowsys_ndf/ndf/templates/ndf/base_templates/trainer_create_edit.html:198 gnowsys_ndf/ndf/templates/ndf/base_templates/trainer_create_edit.html:278 gnowsys_ndf/ndf/templates/ndf/base_templates/trainer_create_edit.html:311 gnowsys_ndf/ndf/templates/ndf/base_templates/trainer_create_edit.html:324 gnowsys_ndf/ndf/templates/ndf/base_templates/trainer_create_edit.html:339 gnowsys_ndf/ndf/templates/ndf/base_templates/trainer_create_edit.html:352 gnowsys_ndf/ndf/templates/ndf/base_templates/trainer_create_edit.html:367 gnowsys_ndf/ndf/templates/ndf/base_templates/trainer_create_edit.html:380 gnowsys_ndf/ndf/templates/ndf/base_templates/trainer_create_edit.html:395 gnowsys_ndf/ndf/templates/ndf/base_templates/trainer_create_edit.html:427"," %(label_val)s ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/announced_course_create_edit.html:113","Announced for",
"gnowsys_ndf/ndf/templates/ndf/base_templates/announced_course_create_edit.html:135","Course Period",
"gnowsys_ndf/ndf/templates/ndf/base_templates/announced_course_create_edit.html:140 gnowsys_ndf/ndf/templates/ndf/base_templates/res_node_ajax_view.html:279 gnowsys_ndf/ndf/templates/ndf/base_templates/studentcourseenrollment_create_edit.html:143 gnowsys_ndf/ndf/templates/ndf/base_templates/studentcourseenrollment_create_edit.html:182","From",
"gnowsys_ndf/ndf/templates/ndf/base_templates/announced_course_create_edit.html:148 gnowsys_ndf/ndf/templates/ndf/base_templates/studentcourseenrollment_create_edit.html:153 gnowsys_ndf/ndf/templates/ndf/base_templates/studentcourseenrollment_create_edit.html:192","To",
"gnowsys_ndf/ndf/templates/ndf/base_templates/announced_course_create_edit.html:164","Announced in College(s)",
"gnowsys_ndf/ndf/templates/ndf/base_templates/announced_course_create_edit.html:166","Select University",
"gnowsys_ndf/ndf/templates/ndf/base_templates/announced_course_create_edit.html:176 gnowsys_ndf/ndf/templates/ndf/base_templates/trainer_create_edit.html:482","- - - Select University - - -",
"gnowsys_ndf/ndf/templates/ndf/base_templates/announced_course_create_edit.html:182","Please select University",
"gnowsys_ndf/ndf/templates/ndf/base_templates/announced_course_create_edit.html:717 gnowsys_ndf/ndf/templates/ndf/base_templates/drawer_widget.html:217 gnowsys_ndf/ndf/templates/ndf/base_templates/event_create_edit.html:175 gnowsys_ndf/ndf/templates/ndf/base_templates/node_ajax_content.html:343 gnowsys_ndf/ndf/templates/ndf/base_templates/node_ajax_content.html:360 gnowsys_ndf/ndf/templates/ndf/base_templates/nussd_course_create_edit.html:612 gnowsys_ndf/ndf/templates/ndf/base_templates/organization_create_edit.html:275 gnowsys_ndf/ndf/templates/ndf/base_templates/person_create_edit.html:297 gnowsys_ndf/ndf/templates/ndf/base_templates/res_node_ajax_view.html:207 gnowsys_ndf/ndf/templates/ndf/base_templates/res_node_ajax_view.html:224 gnowsys_ndf/ndf/templates/ndf/base_templates/student_create_edit.html:680 gnowsys_ndf/ndf/templates/ndf/base_templates/trainer_create_edit.html:1270","Next",
"gnowsys_ndf/ndf/templates/ndf/base_templates/announced_course_create_edit.html:723 gnowsys_ndf/ndf/templates/ndf/base_templates/course_detail.html:75 gnowsys_ndf/ndf/templates/ndf/base_templates/gcourse_detail.html:75 gnowsys_ndf/ndf/templates/ndf/base_templates/gevent_base.html:50 gnowsys_ndf/ndf/templates/ndf/base_templates/lms.html:130","Announce",
"gnowsys_ndf/ndf/templates/ndf/base_templates/announced_course_create_edit.html:726 gnowsys_ndf/ndf/templates/ndf/base_templates/event_create_edit.html:184 gnowsys_ndf/ndf/templates/ndf/base_templates/nussd_course_create_edit.html:621 gnowsys_ndf/ndf/templates/ndf/base_templates/organization_create_edit.html:284 gnowsys_ndf/ndf/templates/ndf/base_templates/person_create_edit.html:306 gnowsys_ndf/ndf/templates/ndf/base_templates/student_create_edit.html:689 gnowsys_ndf/ndf/templates/ndf/base_templates/trainer_create_edit.html:1279","Update",
"gnowsys_ndf/ndf/templates/ndf/base_templates/announced_course_create_edit.html:735 gnowsys_ndf/ndf/templates/ndf/base_templates/drawer_widget.html:160 gnowsys_ndf/ndf/templates/ndf/base_templates/event_create_edit.html:193 gnowsys_ndf/ndf/templates/ndf/base_templates/node_ajax_content.html:339 gnowsys_ndf/ndf/templates/ndf/base_templates/node_ajax_content.html:353 gnowsys_ndf/ndf/templates/ndf/base_templates/nussd_course_create_edit.html:630 gnowsys_ndf/ndf/templates/ndf/base_templates/organization_create_edit.html:293 gnowsys_ndf/ndf/templates/ndf/base_templates/person_create_edit.html:315 gnowsys_ndf/ndf/templates/ndf/base_templates/res_node_ajax_view.html:203 gnowsys_ndf/ndf/templates/ndf/base_templates/res_node_ajax_view.html:217 gnowsys_ndf/ndf/templates/ndf/base_templates/student_create_edit.html:698 gnowsys_ndf/ndf/templates/ndf/base_templates/trainer_create_edit.html:1288","Previous",
"gnowsys_ndf/ndf/templates/ndf/base_templates/approval_data_review.html:29","Course Code: ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/approval_data_review.html:30","Enrollment Completed On: ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/approval_data_review.html:37","Sr. #",
"gnowsys_ndf/ndf/templates/ndf/base_templates/asset_content_detail.html:10","File name:",
"gnowsys_ndf/ndf/templates/ndf/base_templates/asset_content_detail.html:14","Created By:",
"gnowsys_ndf/ndf/templates/ndf/base_templates/asset_content_detail.html:17","Created At:",
"gnowsys_ndf/ndf/templates/ndf/base_templates/asset_content_detail.html:21","Dimensions:",
"gnowsys_ndf/ndf/templates/ndf/base_templates/asset_content_detail.html:25","Format:",
"gnowsys_ndf/ndf/templates/ndf/base_templates/asset_content_detail.html:29","File Size:",
"gnowsys_ndf/ndf/templates/ndf/base_templates/asset_content_detail.html:45 gnowsys_ndf/ndf/templates/ndf/base_templates/node_ajax_content.html:357 gnowsys_ndf/ndf/templates/ndf/base_templates/res_node_ajax_view.html:221","Download",
"gnowsys_ndf/ndf/templates/ndf/base_templates/asset_content_detail.html:49","Link/Add Related File",
"gnowsys_ndf/ndf/templates/ndf/base_templates/asset_content_detail.html:53","Add Alternate File",
"gnowsys_ndf/ndf/templates/ndf/base_templates/asset_content_detail.html:55 gnowsys_ndf/ndf/templates/ndf/base_templates/node_ajax_content.html:290 gnowsys_ndf/ndf/templates/ndf/base_templates/node_ajax_content.html:309 gnowsys_ndf/ndf/templates/ndf/base_templates/resource_view.html:33","Add Transcript",
"gnowsys_ndf/ndf/templates/ndf/base_templates/asset_content_detail.html:58","Add Subtitle",
"gnowsys_ndf/ndf/templates/ndf/base_templates/asset_content_detail.html:92","Delete subtitle",
"gnowsys_ndf/ndf/templates/ndf/base_templates/asset_content_detail.html:106","Delete transcript",
"gnowsys_ndf/ndf/templates/ndf/base_templates/asset_content_detail.html:117","Alternate Files :",
"gnowsys_ndf/ndf/templates/ndf/base_templates/asset_content_detail.html:133","Upload Transcript",
"gnowsys_ndf/ndf/templates/ndf/base_templates/asset_content_detail.html:148","Upload Subtitle",
"gnowsys_ndf/ndf/templates/ndf/base_templates/asset_content_detail.html:156","--- Select Language ---",
"gnowsys_ndf/ndf/templates/ndf/base_templates/asset_content_detail.html:173","--- Select Alternate Type ---",
"gnowsys_ndf/ndf/templates/ndf/base_templates/assets.html:41","Add Resource",
"gnowsys_ndf/ndf/templates/ndf/base_templates/assets.html:46","Add Folder",
"gnowsys_ndf/ndf/templates/ndf/base_templates/assets.html:51","Add Asset",
"gnowsys_ndf/ndf/templates/ndf/base_templates/attendees_widget.html:24","Add Attendance",
"gnowsys_ndf/ndf/templates/ndf/base_templates/attendees_widget.html:30 gnowsys_ndf/ndf/templates/ndf/base_templates/event_details.html:75","Attendance",
"gnowsys_ndf/ndf/templates/ndf/base_templates/attendees_widget.html:36 gnowsys_ndf/ndf/templates/ndf/base_templates/batch_detail.html:42","Batch",
"gnowsys_ndf/ndf/templates/ndf/base_templates/attendees_widget.html:41","Select the Batch",
"gnowsys_ndf/ndf/templates/ndf/base_templates/attendees_widget.html:50","Majority",
"gnowsys_ndf/ndf/templates/ndf/base_templates/attendees_widget.html:58 gnowsys_ndf/ndf/templates/ndf/base_templates/attendees_widget.html:88","Present",
"gnowsys_ndf/ndf/templates/ndf/base_templates/attendees_widget.html:63 gnowsys_ndf/ndf/templates/ndf/base_templates/attendees_widget.html:89","Absent",
"gnowsys_ndf/ndf/templates/ndf/base_templates/attendees_widget.html:79","All Students - Mark the attendance",
"gnowsys_ndf/ndf/templates/ndf/base_templates/attendees_widget.html:85","Students Name",
"gnowsys_ndf/ndf/templates/ndf/base_templates/attendees_widget.html:109 gnowsys_ndf/ndf/templates/ndf/base_templates/mis_report.html:55","Student",
"gnowsys_ndf/ndf/templates/ndf/base_templates/attendees_widget.html:111","Done",
"gnowsys_ndf/ndf/templates/ndf/base_templates/attendees_widget.html:120","Present Students",
"gnowsys_ndf/ndf/templates/ndf/base_templates/attendees_widget.html:121 gnowsys_ndf/ndf/templates/ndf/base_templates/attendees_widget.html:129","Student ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/attendees_widget.html:128","Absent Students",
"gnowsys_ndf/ndf/templates/ndf/base_templates/basecourse_group.html:9 gnowsys_ndf/ndf/templates/ndf/base_templates/event.html:4 gnowsys_ndf/ndf/templates/ndf/base_templates/event_base.html:5 gnowsys_ndf/ndf/templates/ndf/base_templates/gcourse_event_group.html:9 gnowsys_ndf/ndf/templates/ndf/base_templates/mis_details.html:120","Events",
"gnowsys_ndf/ndf/templates/ndf/base_templates/basecourse_group.html:125","Edit Course",
"gnowsys_ndf/ndf/templates/ndf/base_templates/basecourse_group.html:126 gnowsys_ndf/ndf/templates/ndf/base_templates/gcourse_event_group.html:134","Edit Course Structure",
"gnowsys_ndf/ndf/templates/ndf/base_templates/basecourse_group.html:126 gnowsys_ndf/ndf/templates/ndf/base_templates/course_detail.html:76 gnowsys_ndf/ndf/templates/ndf/base_templates/course_details.html:29 gnowsys_ndf/ndf/templates/ndf/base_templates/course_event_group.html:26 gnowsys_ndf/ndf/templates/ndf/base_templates/gcourse_detail.html:76","Add  Course Structure",
"gnowsys_ndf/ndf/templates/ndf/base_templates/basecourse_group.html:136 gnowsys_ndf/ndf/templates/ndf/base_templates/gcourse_event_group.html:147"," Add Students",
"gnowsys_ndf/ndf/templates/ndf/base_templates/basecourse_group.html:136 gnowsys_ndf/ndf/templates/ndf/base_templates/gcourse_event_group.html:147"," Add Members",
"gnowsys_ndf/ndf/templates/ndf/base_templates/basecourse_group.html:141 gnowsys_ndf/ndf/templates/ndf/base_templates/gcourse_event_group.html:151"," Add Admins",
"gnowsys_ndf/ndf/templates/ndf/base_templates/basecourse_group.html:162 gnowsys_ndf/ndf/templates/ndf/base_templates/gcourse_event_group.html:223 gnowsys_ndf/ndf/templates/ndf/base_templates/gevent_base.html:76","Overview",
"gnowsys_ndf/ndf/templates/ndf/base_templates/basecourse_group.html:168 gnowsys_ndf/ndf/templates/ndf/base_templates/basecourse_group.html:196 gnowsys_ndf/ndf/templates/ndf/base_templates/gcourse_event_group.html:229 gnowsys_ndf/ndf/templates/ndf/base_templates/gcourse_event_group.html:315","Course Content",
"gnowsys_ndf/ndf/templates/ndf/base_templates/basecourse_group.html:174 gnowsys_ndf/ndf/templates/ndf/base_templates/basecourse_group.html:197 gnowsys_ndf/ndf/templates/ndf/base_templates/gcourse_event_group.html:235 gnowsys_ndf/ndf/templates/ndf/base_templates/gcourse_event_group.html:316","Raw Material",
"gnowsys_ndf/ndf/templates/ndf/base_templates/basecourse_group.html:195 gnowsys_ndf/ndf/templates/ndf/base_templates/gcourse_event_group.html:314","About the course",
"gnowsys_ndf/ndf/templates/ndf/base_templates/basic_temp.html:37","AttributeType ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/basic_temp.html:51","PossibleAttributeType ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/basic_temp.html:61","RelationType ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/basic_temp.html:76","PossibleRelationType ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/batch.html:5"," %(title)s  ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/batch.html:81 gnowsys_ndf/ndf/templates/ndf/base_templates/new_create_batch.html:114 gnowsys_ndf/ndf/templates/ndf/base_templates/trainer_create_edit.html:523","Course Type",
"gnowsys_ndf/ndf/templates/ndf/base_templates/batch.html:87 gnowsys_ndf/ndf/templates/ndf/base_templates/new_create_batch.html:123","Name of Course",
"gnowsys_ndf/ndf/templates/ndf/base_templates/batch.html:172 gnowsys_ndf/ndf/templates/ndf/base_templates/new_create_batch.html:229"," - - - Select course - - - ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/batch_detail.html:27","ago edited by  ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/batch_detail.html:27","User",
"gnowsys_ndf/ndf/templates/ndf/base_templates/batch_detail.html:27","View history ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/beta.html:21 gnowsys_ndf/ndf/templates/ndf/base_templates/file_search.html:16 gnowsys_ndf/ndf/templates/ndf/base_templates/header.html:498 gnowsys_ndf/ndf/templates/ndf/base_templates/header.html:512 gnowsys_ndf/ndf/templates/ndf/base_templates/node_search_base.html:6 gnowsys_ndf/ndf/templates/ndf/base_templates/search_page.html:4","Search",
"gnowsys_ndf/ndf/templates/ndf/base_templates/beta.html:41","File Size ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/beta.html:44","File Type",
"gnowsys_ndf/ndf/templates/ndf/base_templates/beta.html:47","Posted by ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/beta.html:50","Download ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/beta.html:53","Delete ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/beta.html:87","Nothing found!",
"gnowsys_ndf/ndf/templates/ndf/base_templates/buddy.html:42","Add a buddy",
"gnowsys_ndf/ndf/templates/ndf/base_templates/buddy.html:43","Multiple users can be logged into the platform. Just specify your color and animal and click add to join the session.",
"gnowsys_ndf/ndf/templates/ndf/base_templates/buddy.html:57 gnowsys_ndf/ndf/templates/registration/user-icon-to-name.html:33","Step 1",
"gnowsys_ndf/ndf/templates/ndf/base_templates/buddy.html:58 gnowsys_ndf/ndf/templates/registration/user-icon-to-name.html:34","Select your color",
"gnowsys_ndf/ndf/templates/ndf/base_templates/buddy.html:66 gnowsys_ndf/ndf/templates/registration/user-icon-to-name.html:42","Step 2",
"gnowsys_ndf/ndf/templates/ndf/base_templates/buddy.html:67 gnowsys_ndf/ndf/templates/registration/user-icon-to-name.html:43","Select your animal/flower/fruit",
"gnowsys_ndf/ndf/templates/ndf/base_templates/buddy.html:88","Are you sure you want to delete the buddy?",
"gnowsys_ndf/ndf/templates/ndf/base_templates/buddy.html:98","Progress Report",
"gnowsys_ndf/ndf/templates/ndf/base_templates/buddy.html:100","Please go to any unit to see your progress report.",
"gnowsys_ndf/ndf/templates/ndf/base_templates/buddy.html:102","OK",
"gnowsys_ndf/ndf/templates/ndf/base_templates/card.html:61","more...",
"gnowsys_ndf/ndf/templates/ndf/base_templates/card_group.html:27","My Workspace",
"gnowsys_ndf/ndf/templates/ndf/base_templates/card_group.html:29","School's Workspace",
"gnowsys_ndf/ndf/templates/ndf/base_templates/compose_mail.html:83","You are not an authorised user. Please Log in",
"gnowsys_ndf/ndf/templates/ndf/base_templates/course.html:35"," New Course",
"gnowsys_ndf/ndf/templates/ndf/base_templates/course.html:39"," New Event",
"gnowsys_ndf/ndf/templates/ndf/base_templates/course.html:44","All eCourses",
"gnowsys_ndf/ndf/templates/ndf/base_templates/course.html:44","All",
"gnowsys_ndf/ndf/templates/ndf/base_templates/course.html:46","My eCourses",
"gnowsys_ndf/ndf/templates/ndf/base_templates/course.html:46","My Events",
"gnowsys_ndf/ndf/templates/ndf/base_templates/course.html:49 gnowsys_ndf/ndf/templates/ndf/base_templates/explore_secondary_header.html:13","Courses",
"gnowsys_ndf/ndf/templates/ndf/base_templates/course_create_edit.html:13"," <h3>Building of a Course </h3>
  <p class=""text-justify""><b>Course</b> is a sequence of learning modules.</p>",
"gnowsys_ndf/ndf/templates/ndf/base_templates/course_create_edit.html:22","Upload thumbnail : ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/course_create_edit.html:31 gnowsys_ndf/ndf/templates/ndf/base_templates/create_event_group.html:383 gnowsys_ndf/ndf/templates/ndf/base_templates/create_partner.html:137","View existing thumbnail ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/course_create_note.html:119 gnowsys_ndf/ndf/templates/ndf/base_templates/widget_tags.html:164","Remove this tag",
"gnowsys_ndf/ndf/templates/ndf/base_templates/course_detail.html:66 gnowsys_ndf/ndf/templates/ndf/base_templates/course_details.html:65 gnowsys_ndf/ndf/templates/ndf/base_templates/gcourse_detail.html:66","View history",
"gnowsys_ndf/ndf/templates/ndf/base_templates/course_detail.html:76 gnowsys_ndf/ndf/templates/ndf/base_templates/course_details.html:29 gnowsys_ndf/ndf/templates/ndf/base_templates/course_event_group.html:26 gnowsys_ndf/ndf/templates/ndf/base_templates/gcourse_detail.html:76","Edit  Course Structure",
"gnowsys_ndf/ndf/templates/ndf/base_templates/course_detail.html:144","* Note: You have not added any resources to this course yet",
"gnowsys_ndf/ndf/templates/ndf/base_templates/course_details.html:76 gnowsys_ndf/ndf/templates/ndf/base_templates/student_enroll.html:113","Course Details",
"gnowsys_ndf/ndf/templates/ndf/base_templates/course_details.html:80","Course Registration Details ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/course_event_group.html:40","Release Date",
"gnowsys_ndf/ndf/templates/ndf/base_templates/course_event_group.html:160 gnowsys_ndf/ndf/templates/ndf/base_templates/gcourse_event_group.html:557 gnowsys_ndf/ndf/templates/ndf/base_templates/task_create_edit.html:110","Please wait while file is Uploading...",
"gnowsys_ndf/ndf/templates/ndf/base_templates/course_event_group.html:167 gnowsys_ndf/ndf/templates/ndf/base_templates/gcourse_event_group.html:564 gnowsys_ndf/ndf/templates/ndf/base_templates/group_dashboard.html:440 gnowsys_ndf/ndf/templates/ndf/base_templates/group_dashboard.html:480 gnowsys_ndf/ndf/templates/ndf/base_templates/widget_photo_upload.html:266","Please select an image to set it as a profile picture !",
"gnowsys_ndf/ndf/templates/ndf/base_templates/course_page_create_edit.html:9 gnowsys_ndf/ndf/templates/ndf/base_templates/oer_group_create_edit.html:16","Unique Name: ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/course_page_create_edit.html:13 gnowsys_ndf/ndf/templates/ndf/base_templates/oer_group_create_edit.html:20 gnowsys_ndf/ndf/templates/ndf/base_templates/widget_node_form.html:20","Please enter Name",
"gnowsys_ndf/ndf/templates/ndf/base_templates/course_page_create_edit.html:18 gnowsys_ndf/ndf/templates/ndf/base_templates/oer_group_create_edit.html:25","Display Name: ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/course_page_create_edit.html:22 gnowsys_ndf/ndf/templates/ndf/base_templates/oer_group_create_edit.html:29","Please enter display Name",
"gnowsys_ndf/ndf/templates/ndf/base_templates/course_page_create_edit.html:30 gnowsys_ndf/ndf/templates/ndf/base_templates/oer_group_create_edit.html:37","Select Lanaguage: ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/course_page_create_edit.html:51 gnowsys_ndf/ndf/templates/ndf/base_templates/oer_group_create_edit.html:58","Choose template",
"gnowsys_ndf/ndf/templates/ndf/base_templates/course_page_create_edit.html:55 gnowsys_ndf/ndf/templates/ndf/base_templates/oer_group_create_edit.html:62","Select Template (Optional): ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/course_page_create_edit.html:71 gnowsys_ndf/ndf/templates/ndf/base_templates/lms.html:135 gnowsys_ndf/ndf/templates/ndf/base_templates/oer_group_create_edit.html:78","Edit Metadata",
"gnowsys_ndf/ndf/templates/ndf/base_templates/course_page_create_edit.html:90 gnowsys_ndf/ndf/templates/ndf/base_templates/oer_group_create_edit.html:129","Add Tags:",
"gnowsys_ndf/ndf/templates/ndf/base_templates/course_pages.html:41 gnowsys_ndf/ndf/templates/ndf/base_templates/unit_player.html:57"," Edit Content",
"gnowsys_ndf/ndf/templates/ndf/base_templates/course_pages.html:42 gnowsys_ndf/ndf/templates/ndf/base_templates/node_edit_base.html:125","Interaction Settings",
"gnowsys_ndf/ndf/templates/ndf/base_templates/course_pages.html:44","Link Teacher's page",
"gnowsys_ndf/ndf/templates/ndf/base_templates/course_pages.html:45","Link Help page",
"gnowsys_ndf/ndf/templates/ndf/base_templates/course_pages.html:48 gnowsys_ndf/ndf/templates/ndf/base_templates/group_detail.html:63 gnowsys_ndf/ndf/templates/ndf/base_templates/index_oer.html:94","Alternate Language",
"gnowsys_ndf/ndf/templates/ndf/base_templates/course_pages.html:107","Add Activity page",
"gnowsys_ndf/ndf/templates/ndf/base_templates/course_pages.html:109","Add Help page",
"gnowsys_ndf/ndf/templates/ndf/base_templates/course_units.html:104 gnowsys_ndf/ndf/templates/ndf/base_templates/gcourse_units.html:104","Unit Name: ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/course_units.html:153 gnowsys_ndf/ndf/templates/ndf/base_templates/gcourse_units.html:153","Add New Page: ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/course_units.html:160 gnowsys_ndf/ndf/templates/ndf/base_templates/gcourse_units.html:160 gnowsys_ndf/ndf/templates/ndf/base_templates/node_edit_base.html:287","Page Type:",
"gnowsys_ndf/ndf/templates/ndf/base_templates/course_units.html:184 gnowsys_ndf/ndf/templates/ndf/base_templates/gcourse_units.html:184","Add New File: ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/create_batch.html:125","Enter Batch Name",
"gnowsys_ndf/ndf/templates/ndf/base_templates/create_batch.html:134","Choose users",
"gnowsys_ndf/ndf/templates/ndf/base_templates/create_event_group.html:35","Announce Course",
"gnowsys_ndf/ndf/templates/ndf/base_templates/create_event_group.html:37","Create Program",
"gnowsys_ndf/ndf/templates/ndf/base_templates/create_event_group.html:70 gnowsys_ndf/ndf/templates/ndf/base_templates/create_group.html:65","Group Name",
"gnowsys_ndf/ndf/templates/ndf/base_templates/create_event_group.html:74 gnowsys_ndf/ndf/templates/ndf/base_templates/create_group.html:69","Enter the unique group name",
"gnowsys_ndf/ndf/templates/ndf/base_templates/create_event_group.html:76","Group Name is required and it must be a string. ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/create_event_group.html:89 gnowsys_ndf/ndf/templates/ndf/base_templates/create_group.html:84","Alternate Group Name",
"gnowsys_ndf/ndf/templates/ndf/base_templates/create_event_group.html:93 gnowsys_ndf/ndf/templates/ndf/base_templates/create_group.html:88","Provide display/alternate group name",
"gnowsys_ndf/ndf/templates/ndf/base_templates/create_event_group.html:106 gnowsys_ndf/ndf/templates/ndf/base_templates/create_unit.html:44","Select Module",
"gnowsys_ndf/ndf/templates/ndf/base_templates/create_event_group.html:110 gnowsys_ndf/ndf/templates/ndf/base_templates/create_unit.html:48","Choose Module",
"gnowsys_ndf/ndf/templates/ndf/base_templates/create_event_group.html:127 gnowsys_ndf/ndf/templates/ndf/base_templates/create_group.html:103 gnowsys_ndf/ndf/templates/ndf/base_templates/create_sub_group.html:49 gnowsys_ndf/ndf/templates/ndf/base_templates/create_unit.html:153 gnowsys_ndf/ndf/templates/ndf/base_templates/edit_group.html:106","Group Type",
"gnowsys_ndf/ndf/templates/ndf/base_templates/create_event_group.html:140 gnowsys_ndf/ndf/templates/ndf/base_templates/create_event_group.html:166","Please select group type.",
